PLAYER,3PA,3P%
"Stephen Curry, PG",10,0.411
"James Harden, SG",9,0.347
"Eric Gordon, SG",9,0.372
"Klay Thompson, SG",8,0.414
"Isaiah Thomas, PG",9,0.379
"Kemba Walker, PG",8,0.399
"Russell Westbrook, PG",7,0.343
"Damian Lillard, PG",8,0.37
"Trevor Ariza, SF",7,0.344
"Bradley Beal, SG",7,0.404
,,
PLAYER,3PA,3P%
"Ryan Anderson, PF",7,0.403
"Paul George, SF",7,0.393
"Wesley Matthews, SG",7,0.363
"JJ Redick, SG",6,0.429
"Kyle Lowry, PG",8,0.412
"Lou Williams, SG",6,0.365
"Kyrie Irving, PG",6,0.401
"CJ McCollum, SG",5,0.421
"Kentavious Caldwell-Pope, SG",6,0.35
"Nick Young, SG",7,0.404
,,
PLAYER,3PA,3P%
"Carmelo Anthony, SF",6,0.359
"Mike Conley, PG",6,0.407
"Tim Hardaway Jr., SG",5,0.357
"Robert Covington, SF",6,0.333
"CJ Miles, SF",5,0.413
"Devin Booker, SG",5,0.363
"Nicolas Batum, SG",5,0.333
"Ersan Ilyasova, PF",5,0.353
"Jae Crowder, SF",5,0.398
"Wayne Ellington, SG",6,0.378
,,
PLAYER,3PA,3P%
"Bojan Bogdanovic, SG",5,0.367
"Terrence Ross, SF",5,0.363
"Kevin Love, PF",6,0.373
"Kawhi Leonard, SF",5,0.38
"Brook Lopez, C",5,0.346
"D'Angelo Russell, PG",6,0.352
"Buddy Hield, SG",5,0.391
"Nikola Mirotic, PF",5,0.342
"Gordon Hayward, SF",5,0.398
"DeMarcus Cousins, C",5,0.361
"Evan Fournier, SG",5,0.356
"Kyle Korver, SG",5,0.451
"Nik Stauskas, SG",4,0.368
"Marcus Morris, PF",5,0.331
"Jordan Clarkson, PG",4,0.329
"Patty Mills, PG",4,0.414
"Tony Snell, SF",4,0.406
"Troy Daniels, SG",5,0.389
"Marvin Williams, PF",5,0.35
"Frank Kaminsky, C",5,0.328
,,
PLAYER,3PA,3P%
"Victor Oladipo, SG",5,0.361
"Jamal Murray, G",4,0.334
"LeBron James, SF",5,0.363
"Otto Porter Jr., SF",4,0.434
"Dario Saric, SF",4,0.311
"Channing Frye, PF",5,0.409
"Marcus Smart, PG",4,0.283
"Wilson Chandler, SF",5,0.337
"Danilo Gallinari, SF",5,0.389
"Seth Curry, SG",5,0.425
,,
PLAYER,3PA,3P%
"Jamal Crawford, SG",4,0.36
"DeMarre Carroll, SF",4,0.341
"Serge Ibaka, PF",4,0.391
"Kristaps Porzingis, PF",5,0.357
"Tobias Harris, SF",4,0.347
"Kevin Durant, SF",5,0.375
"Danny Green, SG",5,0.379
"Zach LaVine, PG",7,0.387
"Eric Bledsoe, PG",5,0.335
"Langston Galloway, SG",4,0.39
,,
PLAYER,3PA,3P%
"Sean Kilpatrick, SG",4,0.341
"Rodney Hood, SG",5,0.371
"Mirza Teletovic, PF",4,0.341
"Allen Crabbe, SG",4,0.444
"Chris Paul, PG",5,0.411
"Austin Rivers, PG",4,0.371
"Vince Carter, SG",4,0.378
"Dennis Schroder, PG",4,0.34
"Goran Dragic, PG",4,0.405
"Andrew Wiggins, SG",4,0.356
"Patrick Beverley, PG",4,0.382
"Marco Belinelli, SG",4,0.36
"Jrue Holiday, PG",4,0.356
"Joe Ingles, SF",3,0.441
"Avery Bradley, PG",5,0.39
"Marreese Speights, PF",3,0.372
"Karl-Anthony Towns, C",3,0.367
"D.J. Augustin, PG",4,0.347
"Jameer Nelson, PG",4,0.388
"Justin Holiday, SG",3,0.355
,,
PLAYER,3PA,3P%
"John Wall, PG",3,0.327
"JR Smith, SG",7,0.351
"Solomon Hill, SF",3,0.348
"Courtney Lee, SG",3,0.401
"Marc Gasol, C",4,0.388
"Aaron Gordon, PF",3,0.288
"Kent Bazemore, SF",4,0.346
"Matt Barnes, SF",4,0.331
"Draymond Green, PF",3,0.308
"Iman Shumpert, SG",3,0.36
,,
PLAYER,3PA,3P%
"Joe Johnson, SF",3,0.411
"James Johnson, PF",3,0.34
"Gary Harris, SG",4,0.42
"Patrick Patterson, PF",4,0.372
"Sergio Rodriguez, PG",4,0.365
"Jeff Teague, PG",3,0.357
"Brandon Jennings, PG",3,0.313
"Tyler Johnson, SG",3,0.372
"Jimmy Butler, SG",3,0.367
"Alex Abrines, SG",4,0.381
,,
PLAYER,3PA,3P%
"Al Horford, C",4,0.355
"Paul Millsap, PF",3,0.311
"Will Barton, SG",4,0.37
"Deron Williams, PG",4,0.363
"George Hill, PG",5,0.403
"Anthony Tolliver, PF",4,0.391
"Manu Ginobili, SG",3,0.392
"Josh Richardson, SG",4,0.33
"Marquese Chriss, F",3,0.321
"Harrison Barnes, SF",3,0.351
"Joe Harris, SG",4,0.385
"Garrett Temple, SG",3,0.373
"Rodney McGruder, SG",3,0.332
"Matthew Dellavedova, PG",3,0.366
"Dion Waiters, SG",5,0.395
"Meyers Leonard, PF",3,0.347
"Al-Farouq Aminu, SF",3,0.329
"Luke Babbitt, SF",3,0.414
"Dirk Nowitzki, PF",4,0.378
"E'Twaun Moore, SG",3,0.37
,,
PLAYER,3PA,3P%
"Doug McDermott, SF",3,0.37
"Denzel Valentine, SG",4,0.351
"Trey Lyles, PF",3,0.319
"Jared Dudley, SF",3,0.379
"Randy Foye, SG",3,0.33
"Markieff Morris, PF",3,0.362
"PJ Tucker, SF",2,0.357
"Ricky Rubio, PG",3,0.306
"Maurice Harkless, SF",3,0.351
"Justin Anderson, SG",3,0.299
,,
PLAYER,3PA,3P%
"Malcolm Brogdon, G",3,0.404
"Jeff Green, SF",3,0.275
"Kelly Olynyk, C",3,0.354
"Dorian Finney-Smith, F",2,0.293
"Kelly Oubre Jr., SF",2,0.287
"Sam Dekker, SF",2,0.321
"Brandon Ingram, F",2,0.294
"Richard Jefferson, SF",2,0.333
"Reggie Jackson, PG",4,0.359
"Caris LeVert, SG",3,0.321
,,
PLAYER,3PA,3P%
"Andre Roberson, SG",2,0.245
"Dante Cunningham, PF",3,0.392
"Justin Hamilton, C",3,0.306
"Giannis Antetokounmpo, SF",2,0.272
"Terry Rozier, PG",2,0.318
"Jabari Parker, PF",3,0.365
"Emmanuel Mudiay, PG",3,0.315
"Andre Iguodala, SF",2,0.362
"Devin Harris, PG",3,0.328
"Nemanja Bjelica, PF",3,0.316
"Yogi Ferrell, PG",4,0.386
"Darren Collison, PG",3,0.417
"Davis Bertans, SF",3,0.399
"Gerald Henderson, SG",2,0.353
"Norman Powell, SG",2,0.324
"Jason Terry, SG",2,0.427
"Ben McLemore, SG",3,0.382
"Mindaugas Kuzminskas, F",2,0.321
"Jon Leuer, PF",2,0.293
"Luol Deng, SF",3,0.309
,,
PLAYER,3PA,3P%
"Ian Clark, SG",2,0.374
"Timothe Luwawu-Cabarrot, SG",2,0.311
"Domantas Sabonis, PF",2,0.321
"Jeremy Lin, PG",4,0.372
"Andrew Harrison, PG",2,0.276
"Stanley Johnson, SF",2,0.292
"Arron Afflalo, SG",2,0.411
"Dante Exum, PG",2,0.295
"Isaiah Whitehead, G",2,0.295
"J.J. Barea, PG",4,0.358
,,
PLAYER,3PA,3P%
"Shabazz Muhammad, SF",2,0.336
"Jeremy Lamb, SG",2,0.281
"Elfrid Payton, PG",2,0.274
"Dwyane Wade, SG",2,0.31
"JaMychal Green, PF",2,0.382
"Raymond Felton, PG",2,0.319
"Mario Hezonja, SG",2,0.299
"Brandon Knight, PG",3,0.324
"Nikola Jokic, C",2,0.324
"Jodie Meeks, SG",4,0.409
,,
PLAYER,3PA,3P%
"James Ennis III, SF",2,0.372
"Cory Joseph, PG",2,0.356
"Jaylen Brown, F",2,0.341
"Monta Ellis, SG",2,0.319
"Mike Dunleavy, SG",3,0.396
"Jerian Grant, PG",2,0.366
"Anthony Davis, PF",2,0.299
"Rajon Rondo, PG",2,0.376
"Anthony Morrow, SG",3,0.308
"Jonas Jerebko, PF",2,0.346