ESPN Rank,FGA2017,Player Name,Team + Position,GP2017,Min2017,FGP2017,FTP2017,3PM2017,REB2017,AST2017,ATO2017,STL2017,BLK2017,TO2017,PTS2017,GP2018,Min2018,FGP2018,FTP2018,3PM2018,REB2018,AST2018,ATO2018,STL2018,BLK2018,TO2018,PTS2018,3PP2017,3PA2017,DD2017,FTA2017,FTM2017
74,16.2,Harrison Barnes, Dal SF,79,35.5,0.468,0.861,1,5,1.5,1.15,0.8,0.2,1.3,19.2,77,35,0.45,0.819,1.4,5.8,1.7,1.43,0.9,0.2,1.2,16.2,0.351,3,1,3.6,3.1
75,10.4,Julius Randle, LAL PF,74,28.8,0.487,0.723,0.2,8.6,3.6,1.53,0.7,0.5,2.3,13.2,66,30,0.471,0.736,0.3,10.2,3.2,1.36,0.8,0.5,2.3,14.2,,,18,3.8,2.8
76,10.1,James Johnson, Mia SF,76,27.4,0.479,0.707,1.1,4.9,3.6,1.61,1,1.1,2.3,12.8,77,27,0.463,0.688,0.9,4.8,3,1.48,1.1,1,2,11.2,0.34,3,4,2.8,2
77,,Rudy Gay, SA SF,30,33.8,0.455,0.855,1.4,6.3,2.8,1.12,1.5,0.9,2.5,18.7,68,24,0.463,0.833,0.8,4.4,1.8,1.29,1,0.6,1.4,11.2,,,4,4.6,3.9
78,,Zach LaVine,*,47,37.2,0.459,0.836,2.6,3.4,3,1.64,0.9,0.2,1.8,18.9,76,28,0.448,0.821,1.6,3.3,3.3,1.7,0.9,0.2,1.9,14.9,0.387,7,,3,2.5
79,7.7,Marquese Chriss, Pho PF,82,21.3,0.449,0.624,0.9,4.2,0.7,0.56,0.8,0.9,1.3,9.2,78,25,0.457,0.659,1,5.1,1.5,0.89,1.2,1,1.7,11.5,0.321,3,3,2.2,1.4
80,13.8,D'Angelo Russell, Bkn PG,63,28.7,0.405,0.782,2.1,3.5,4.8,1.72,1.4,0.3,2.8,15.6,77,30,0.404,0.771,2.3,4.1,4.6,1.54,1.6,0.3,3,17.6,0.352,6,2,3,2.3
81,13.2,Zach Randolph, Sac PF,73,24.5,0.449,0.731,0.3,8.2,1.7,1.23,0.5,0.1,1.4,14.1,77,24,0.453,0.76,0.2,7.8,1.7,1.13,0.6,0.1,1.5,12.7,,,20,2.6,1.9
82,13.2,Wilson Chandler, Den SF,71,30.9,0.461,0.727,1.5,6.5,2,1.24,0.7,0.4,1.6,15.7,63,28,0.445,0.738,1.6,5.8,1.8,1.37,0.8,0.4,1.3,12.6,0.337,5,9,2.7,2
83,15.9,Dwyane Wade, Chi SG,60,29.9,0.434,0.794,0.8,4.5,3.8,1.65,1.4,0.7,2.3,18.3,74,28,0.436,0.791,0.5,4.2,4,1.57,1.3,0.5,2.6,17.2,0.31,2,2,4.7,3.7
84,,George Hill, Sac PG,49,31.5,0.477,0.801,1.9,3.4,4.2,2.4,1,0.2,1.7,16.9,69,30,0.441,0.795,1.7,3.7,3.9,2.43,1.1,0.2,1.6,13.7,0.403,5,,4,3.2
85,11.9,Danilo Gallinari,*,63,33.9,0.447,0.902,2,5.2,2.1,1.65,0.6,0.2,1.3,18.2,70,33,0.419,0.882,2.2,5,2.2,1.72,0.8,0.3,1.3,17.1,0.389,5,4,6.1,5.5
86,13.7,Evan Fournier, Orl SG,68,32.9,0.439,0.805,1.9,3.1,3,1.43,1,0.1,2.1,17.2,75,32,0.443,0.822,2.1,3.1,2.9,1.56,1.1,0.1,1.9,16.2,0.356,5,1,4.1,3.3
87,,Avery Bradley, Det SG,55,33.4,0.463,0.731,2,6.1,2.2,1.39,1.2,0.2,1.6,16.3,76,32,0.436,0.783,1.8,3.9,2.3,1.58,1.4,0.2,1.5,14.2,0.39,5,10,1.7,1.2
88,12.2,Kentavious Caldwell-Pope, LAL SG,76,33.3,0.399,0.832,2,3.3,2.5,2.24,1.2,0.2,1.1,13.8,76,33,0.4,0.826,2.2,3.5,2.3,1.71,1.4,0.2,1.4,15.1,0.35,6,1,2.4,2
89,,Jeremy Lin, Bkn PG,36,24.5,0.438,0.816,1.6,3.8,5.1,2.14,1.2,0.4,2.4,14.5,73,24,0.409,0.813,1.3,3.3,3.9,1.79,1,0.5,2.2,12.7,0.372,4,3,3.9,3.2
90,11.7,Markieff Morris, Wsh PF,76,31.2,0.457,0.837,0.9,6.5,1.7,0.98,1.1,0.6,1.7,14,78,31,0.457,0.803,1,6.6,2.2,1.16,1.2,0.6,1.9,14.1,0.362,3,9,2.8,2.4
91,8.1,Rajon Rondo, Nor PG,69,26.7,0.408,0.6,0.7,5.1,6.7,2.73,1.4,0.2,2.4,7.8,77,28,0.444,0.606,0.6,4.9,7.6,3.34,1.6,0.1,2.3,7.9,0.376,2,6,1.1,0.9
92,8.2,Steven Adams, OKC C,80,29.9,0.571,0.611,0,7.7,1.1,0.59,1.1,1,1.8,11.3,78,30,0.574,0.585,0,8.2,1.3,0.84,1,1.1,1.6,10.6,,,16,3.2,2
93,8.1,Patrick Beverley, LAC PG,67,30.7,0.42,0.768,1.6,5.9,4.2,2.81,1.5,0.4,1.5,9.5,74,28,0.415,0.742,1.6,4.4,3.5,2.64,1.3,0.4,1.3,8.9,0.382,4,6,1.4,1.1
94,13.5,Eric Gordon, Hou SG,75,31,0.406,0.84,3.3,2.7,2.5,1.55,0.6,0.5,1.6,16.2,71,30,0.42,0.852,3,2.6,3,1.78,0.8,0.4,1.7,15.3,0.372,9,,2.3,2
95,15.3,Derrick Rose, Cle PG,64,32.5,0.471,0.874,0.2,3.8,4.4,1.93,0.7,0.3,2.3,18,71,18,0.45,0.844,0.4,2,2.5,1.89,0.5,0.1,1.3,9.2,,,2,4,3.5
96,9.4,Pau Gasol, SA PF,64,25.4,0.502,0.707,0.9,7.8,2.3,1.85,0.4,1.1,1.3,12.4,76,25,0.487,0.765,0.4,7.8,2.5,1.82,0.4,1.2,1.4,11.1,,,11,2.9,2
97,10.7,Frank Kaminsky, Cha C,75,26.1,0.399,0.756,1.5,4.5,2.2,2.13,0.6,0.5,1,11.7,78,24,0.409,0.763,1.4,4.1,2,1.9,0.7,0.5,1,10.8,0.328,5,4,2.1,1.6
98,,Willy Hernangomez, NY C,72,18.4,0.529,0.728,0.1,7,1.3,0.96,0.6,0.5,1.4,8.2,78,24,0.528,0.747,0.1,8.6,2.2,1.21,0.8,0.7,1.8,10.5,,,11,1.7,1.3
99,13.1,Jordan Clarkson, LAL PG,82,29.2,0.445,0.798,1.4,3,2.6,1.3,1.1,0.1,2,14.7,78,20,0.427,0.815,1,2.4,1.9,1.5,0.8,0.1,1.3,10,0.329,4,,2,1.6
100,,Willie Cauley-Stein, Sac C,75,18.9,0.53,0.669,0,4.5,1.1,1.16,0.7,0.6,0.9,8.1,78,22,0.53,0.691,0,5.4,1.3,1.2,0.9,0.7,1.1,8.9,,,8,2,1.3
101,11.5,Tim Hardaway Jr., NY SG,79,27.3,0.455,0.766,1.9,2.8,2.3,1.72,0.7,0.2,1.3,14.5,78,30,0.428,0.809,2.2,3.2,2.4,1.73,0.8,0.2,1.4,15.1,0.357,5,,2.7,2.1
102,8.7,Brandon Ingram, LAL PF,79,28.8,0.402,0.621,0.7,4,2.1,1.43,0.6,0.5,1.5,9.4,78,30,0.408,0.654,0.9,4.6,2.6,1.52,0.8,0.4,1.7,10.9,0.294,2,,2.7,1.7
103,11.6,Wesley Matthews, Dal SG,73,34.2,0.393,0.816,2.4,3.5,2.9,2.06,1.1,0.2,1.4,13.5,76,34,0.383,0.805,2.5,3.7,2.4,1.97,1.2,0.2,1.2,13,0.363,7,,2.5,2
104,10.5,Darren Collison, Ind PG,68,30.3,0.476,0.86,1.1,2.2,4.6,2.74,1,0.1,1.7,13.2,74,25,0.454,0.853,1,2.2,3.7,2.44,0.9,0.1,1.5,11.3,0.417,3,4,2.5,2.2
105,,Dennis Smith Jr., Dal PG,0,0,0,0,0,0,0,0,0,0,0,0,78,25,0.397,0.715,0.9,3,3.7,1.9,1.1,0.2,1.9,9.1,,,,7.2,5.1
106,7.7,Mason Plumlee, Den PF,81,26.5,0.536,0.58,0,7.5,3.5,2.12,0.9,1.1,1.7,10.4,78,18,0.558,0.594,0,5.1,2.2,1.88,0.7,0.7,1.2,7.3,,,19,3.7,2.1
107,,Jayson Tatum, Bos SF,0,0,0,0,0,0,0,0,0,0,0,0,78,17.8,0.42,0.804,0.6,3.6,1.1,1.06,0.6,0.3,1,6.5,,,,5.8,4.9
108,,Dion Waiters, Mia SG,46,30.1,0.424,0.646,1.8,3.3,4.3,1.94,0.9,0.4,2.2,15.8,76,30,0.399,0.678,1.5,3.1,3.2,1.74,1.1,0.3,1.9,12.8,0.395,5,2,2.8,1.8
109,,Dirk Nowitzki, Dal PF,54,26.4,0.437,0.875,1.5,6.5,1.5,1.61,0.6,0.7,0.9,14.2,75,25,0.424,0.878,1.3,5.7,1.5,1.39,0.6,0.5,1.1,13,0.378,4,8,2.1,1.8
110,,Nerlens Noel, Dal C,51,20.5,0.595,0.694,0,5.8,1,0.98,1.3,1,1,8.7,74,24,0.538,0.639,0,6.6,1.5,0.97,1.6,1.2,1.6,9.5,,,3,2.2,1.5
111,,De'Aaron Fox, Sac PG,0,0,0,0,0,0,0,0,0,0,0,0,78,22,0.421,0.735,0.4,2.7,3.2,1.9,0.9,0.1,1.7,8.8,,,,7.9,5.9
112,9,Greg Monroe, Mil PF,81,22.5,0.534,0.741,0,6.6,2.3,1.34,1.1,0.5,1.7,11.7,78,23,0.526,0.75,0,7,2.2,1.43,1,0.5,1.6,12.1,,,13,3,2.2
113,9.9,Kent Bazemore, Atl SG,73,26.9,0.409,0.708,1.3,3.2,2.4,1.42,1.2,0.7,1.7,11,78,27,0.413,0.737,1.5,4.2,2.4,1.32,1.3,0.6,1.8,11.1,0.346,4,1,2.3,1.6
114,12.7,Marcus Morris, Bos PF,79,32.5,0.418,0.784,1.5,4.6,2,1.84,0.7,0.3,1.1,14,78,30,0.421,0.75,1.5,4.9,2.1,1.82,0.8,0.3,1.1,11.7,0.331,5,5,2.3,1.8
115,,Gary Harris, Den SG,57,31.3,0.502,0.776,1.9,3.1,2.9,2.16,1.2,0.1,1.3,14.9,76,31,0.486,0.813,1.8,3.2,2.6,1.9,1.4,0.2,1.4,14.4,0.42,4,,2.4,1.8
116,11.3,Tyler Johnson, Mia SG,73,29.8,0.433,0.768,1.3,4,3.2,2.59,1.2,0.6,1.2,13.7,73,22,0.42,0.754,1,3,2.2,2.19,0.9,0.4,1,9.5,0.372,3,,3.5,2.7
117,,Derrick Favors, Utah PF,50,23.7,0.487,0.615,0.1,6.1,1.1,0.93,0.9,0.8,1.2,9.5,73,24,0.504,0.708,0.1,6.3,1.5,0.94,0.9,1,1.5,13.7,,,6,2.2,1.3
118,,Justise Winslow, Mia SG,18,34.7,0.356,0.617,0.4,5.2,3.7,2,1.4,0.3,1.8,10.9,71,24,0.409,0.706,0.5,4.3,2,1.56,0.9,0.3,1.3,7.7,,,1,2.6,1.6
119,11.1,Will Barton, Den SG,60,28.4,0.443,0.753,1.5,4.3,3.4,2.12,0.8,0.5,1.6,13.7,77,20,0.439,0.8,1.1,3.3,2.3,1.98,0.7,0.3,1.1,9.4,0.37,4,2,3.2,2.4
120,10.4,Bojan Bogdanovic, Ind SG,81,25.7,0.445,0.893,1.8,3.4,1.4,0.85,0.4,0.1,1.6,13.7,78,20,0.417,0.839,1.3,2.5,1.1,0.98,0.4,0.1,1.1,8.8,0.367,5,,3,2.7
121,9.3,Marvin Williams, Cha SF,76,30.2,0.422,0.873,1.6,6.6,1.4,1.77,0.8,0.7,0.8,11.2,78,30,0.412,0.811,1.7,6,1.5,1.84,0.9,0.8,0.8,10.1,0.35,5,11,2,1.7
122,12.3,TJ Warren, Pho SF,66,31,0.495,0.773,0.4,5.1,1.1,1.32,1.2,0.6,0.9,14.4,73,25,0.487,0.774,0.6,4.1,1.3,1.49,1,0.4,0.9,11.9,,,5,2.3,1.8
123,8.5,Malcolm Brogdon, Mil SG,75,26.4,0.457,0.865,1,2.8,4.2,2.81,1.1,0.2,1.5,10.2,78,28,0.453,0.851,1.3,3.1,4.4,2.7,1.3,0.2,1.6,11.6,0.404,3,2,1.7,1.5
124,9.5,Marcus Smart, Bos PG,79,30.4,0.359,0.812,1.2,3.9,4.6,2.29,1.6,0.4,2,10.6,76,30,0.375,0.788,1.3,4.3,3.9,2.59,1.6,0.4,1.5,10,0.283,4,2,3.2,2.6
125,,Reggie Jackson, Det PG,52,27.4,0.419,0.868,1.3,2.2,5.2,2.37,0.7,0.1,2.2,14.5,76,28,0.421,0.859,1.3,2.8,5.2,2.3,0.8,0.1,2.3,14.5,0.359,4,4,2.6,2.3
126,,Josh Jackson, Pho SF,0,0,0,0,0,0,0,0,0,0,0,0,78,28,0.444,0.588,0.7,5.6,2.1,1.16,1.3,0.6,1.8,11.2,,,,6.4,3.6
127,10.9,Ersan Ilyasova, Atl PF,82,26.1,0.431,0.778,1.7,5.9,1.7,1.22,0.7,0.3,1.4,13.1,77,26,0.418,0.753,1.8,6.2,1.5,1.13,0.8,0.3,1.3,12.5,0.353,5,10,2.5,2
128,10,Seth Curry, Dal SG,70,29,0.481,0.85,2,2.6,2.7,2.04,1.1,0.1,1.3,12.8,77,28,0.452,0.835,1.8,2.8,2.8,1.93,1.1,0.1,1.5,11.9,0.425,5,1,1.4,1.2
129,11.3,Rodney Hood, Utah SG,59,27,0.408,0.783,1.9,3.4,1.6,1.48,0.6,0.2,1.1,12.7,73,27,0.407,0.799,2.2,3,2,1.43,0.7,0.2,1.4,13.7,0.371,5,,1.9,1.5
130,5.6,Tristan Thompson, Cle PF,78,29.9,0.6,0.498,0,9.2,1,1.2,0.5,1.1,0.8,8.1,78,30,0.584,0.587,0,9.7,1.1,1.24,0.6,0.8,0.9,8.6,,,19,2.7,1.4
131,9.6,Robin Lopez, Chi C,81,28,0.493,0.721,0,6.4,1,0.88,0.2,1.4,1.1,10.4,77,28,0.518,0.768,0,7.1,1.3,0.97,0.3,1.3,1.4,10.6,,,8,1.1,0.8
132,5.5,Joe Ingles, Utah PF,82,24,0.452,0.735,1.5,3.2,2.7,2.1,1.2,0.1,1.3,7.1,78,24,0.422,0.766,1.7,3,2.6,1.63,1.2,0.1,1.6,7.9,0.441,3,,0.5,0.4
133,9.9,Austin Rivers, LAC SG,74,27.8,0.442,0.691,1.5,2.2,2.8,1.77,0.6,0.1,1.6,12,77,30,0.431,0.698,1.7,2.8,3,1.93,0.9,0.2,1.5,13.2,0.371,4,,2.6,1.8
134,10.8,Aaron Gordon, Orl PF,80,28.7,0.454,0.719,1,5.1,1.9,1.69,0.8,0.5,1.1,12.7,75,31,0.464,0.723,1,6.9,2.4,1.8,1.1,0.6,1.3,14.3,0.288,3,7,2.7,2
135,9.3,Thaddeus Young, Ind SF,74,30.2,0.527,0.523,0.6,6.1,1.6,1.28,1.5,0.4,1.3,11,77,28,0.484,0.6,0.4,6.4,1.7,1.29,1.4,0.4,1.3,10.6,,,7,1.2,0.6
136,9.1,Courtney Lee, NY SG,77,31.9,0.456,0.867,1.4,3.4,2.3,2.59,1.1,0.3,0.9,10.8,78,26,0.438,0.831,1,2.6,1.9,2.54,1,0.2,0.8,7.8,0.401,3,,1.3,1.1
137,11.4,JJ Redick, Phi SG,78,28.2,0.445,0.891,2.6,2.2,1.4,1.12,0.7,0.2,1.3,15,78,28,0.457,0.883,2.6,2.2,1.7,1.52,0.7,0.1,1.1,14.4,0.429,6,,2.6,2.3
138,,Jahlil Okafor, Phi C,50,22.7,0.514,0.671,0,4.8,1.2,0.64,0.4,1,1.8,11.8,74,12,0.525,0.707,0,2.7,0.8,0.9,0.3,0.4,0.9,7.2,,,2,3.2,2.1
139,8.3,Trevor Booker, Bkn PF,71,24.7,0.516,0.673,0.4,8,1.9,1.09,1.1,0.4,1.8,10,78,24,0.472,0.659,0.4,7.4,2,1.19,1.1,0.5,1.7,8.9,,,16,1.5,1
140,6.8,Kelly Olynyk, Mia C,75,20.5,0.512,0.732,0.9,4.8,2,1.54,0.6,0.4,1.3,9,76,20,0.46,0.754,1.2,4.3,1.9,1.48,0.7,0.4,1.3,9.3,0.354,3,2,1.6,1.2
141,9.4,Buddy Hield, Sac SG,82,23,0.426,0.842,1.8,3.3,1.5,1.2,0.5,0.1,1.2,10.6,78,28,0.422,0.822,2.1,4.1,2.2,1.33,0.7,0.1,1.7,13.4,0.391,5,,1.7,1.4
142,,Tyreke Evans, Mem SF,40,19.7,0.405,0.75,1.1,3.4,3.1,2.03,0.9,0.2,1.5,10.3,63,20,0.431,0.752,0.8,3.4,3.5,2.13,0.9,0.2,1.6,9.8,,,,2.3,1.7
143,9.1,Taj Gibson, Min PF,78,25.5,0.515,0.715,0,6.2,0.9,0.7,0.5,0.8,1.3,10.8,76,25,0.53,0.727,0.1,6,1.4,1.32,0.7,0.8,1,8.9,,,11,2,1.4
144,7.1,Cody Zeller, Cha PF,62,27.8,0.571,0.679,0,6.5,1.6,1.52,1,0.9,1,10.3,74,25,0.535,0.721,0,6,1.7,1.67,0.9,0.8,1,9.4,,,6,3.2,2.1
145,7.6,Al-Farouq Aminu, Por SF,61,29.1,0.392,0.706,1.1,7.4,1.6,1.05,1,0.7,1.5,8.7,77,28,0.403,0.744,1.4,6.2,1.8,1.33,1.1,0.7,1.3,9.3,0.329,3,4,2.2,1.6
146,10.7,Ryan Anderson, Hou PF,72,29.4,0.418,0.86,2.8,4.6,0.9,1.24,0.4,0.2,0.8,13.6,74,28,0.42,0.848,2.6,4.9,1.1,1.15,0.6,0.2,1,14.1,0.403,7,2,2.1,1.8
147,8.9,Jamal Murray, Den SG,82,21.5,0.404,0.883,1.4,2.6,2.1,1.5,0.6,0.3,1.4,9.9,78,24,0.43,0.85,1.6,3,2.7,1.76,0.9,0.3,1.5,11.8,0.334,4,1,1.5,1.3
148,6.3,T.J. McConnell, Phi PG,81,26.3,0.461,0.811,0.1,3.1,6.6,3.36,1.7,0.1,2,6.9,78,20,0.466,0.778,0.3,2.6,4.9,3.41,1.3,0.1,1.4,5.9,,,5,1.1,0.9
149,8.1,Maurice Harkless, Por SF,77,28.9,0.503,0.621,0.9,4.4,1.1,1.02,1.1,0.9,1.1,10,78,29,0.477,0.636,1,4.7,1.6,1.28,1.3,0.8,1.2,10.1,0.351,3,2,1.6,1
150,9.6,Terrence Ross, Orl SG,78,25.1,0.437,0.831,1.8,2.6,1.1,1.29,1.1,0.4,0.9,11,78,26,0.425,0.803,1.9,2.9,1.3,1.42,1,0.4,0.9,11.1,0.363,5,,1.1,1
